query_id,dataset,db_id,question,original_sql_query,modified_sql_query,query_issue
23,train_spider,farm,What are the themes of farm competitions sorted by year in ascending order?,SELECT Theme FROM farm_competition ORDER BY YEAR ASC,"SELECT Theme FROM farm_competition ORDER BY ""YEAR"" ASC",
24,train_spider,farm,"Return the themes of farm competitions, sorted by year ascending.",SELECT Theme FROM farm_competition ORDER BY YEAR ASC,"SELECT Theme FROM farm_competition ORDER BY ""YEAR"" ASC",
25,train_spider,farm,What is the average number of working horses of farms with more than 5000 total number of horses?,SELECT avg(Working_Horses) FROM farm WHERE Total_Horses  >  5000,,
26,train_spider,farm,Give the average number of working horses on farms with more than 5000 total horses.,SELECT avg(Working_Horses) FROM farm WHERE Total_Horses  >  5000,,
27,train_spider,farm,What are the maximum and minimum number of cows across all farms.,"SELECT max(Cows) ,  min(Cows) FROM farm",,
28,train_spider,farm,Return the maximum and minimum number of cows across all farms.,"SELECT max(Cows) ,  min(Cows) FROM farm",,
29,train_spider,farm,How many different statuses do cities have?,SELECT count(DISTINCT Status) FROM city,,
30,train_spider,farm,Count the number of different statuses.,SELECT count(DISTINCT Status) FROM city,,
31,train_spider,farm,List official names of cities in descending order of population.,SELECT Official_Name FROM city ORDER BY Population DESC,,
32,train_spider,farm,"What are the official names of cities, ordered descending by population?",SELECT Official_Name FROM city ORDER BY Population DESC,,
33,train_spider,farm,List the official name and status of the city with the largest population.,"SELECT Official_Name ,  Status FROM city ORDER BY Population DESC LIMIT 1",,
34,train_spider,farm,What is the official name and status of the city with the most residents?,"SELECT Official_Name ,  Status FROM city ORDER BY Population DESC LIMIT 1",,
35,train_spider,farm,Show the years and the official names of the host cities of competitions.,"SELECT T2.Year ,  T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID","SELECT T2.""Year"" ,  T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID",
36,train_spider,farm,Give the years and official names of the cities of each competition.,"SELECT T2.Year ,  T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID","SELECT T2.""Year"" ,  T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID",
37,train_spider,farm,Show the official names of the cities that have hosted more than one competition.,SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT(*)  >  1,"SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID, T1.Official_Name HAVING COUNT(*)  >  1",
38,train_spider,farm,What are the official names of cities that have hosted more than one competition?,SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT(*)  >  1,"SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID, T1.Official_Name HAVING COUNT(*)  >  1",
39,train_spider,farm,Show the status of the city that has hosted the greatest number of competitions.,SELECT T1.Status FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID ORDER BY COUNT(*) DESC LIMIT 1,"SELECT T1.Status FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID, T1.Status ORDER BY COUNT(*) DESC LIMIT 1",
40,train_spider,farm,What is the status of the city that has hosted the most competitions?,SELECT T1.Status FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID GROUP BY T2.Host_city_ID ORDER BY COUNT(*) DESC LIMIT 1,"SELECT T1.Status FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID GROUP BY T2.Host_city_ID, T1.Status ORDER BY COUNT(*) DESC LIMIT 1",
41,train_spider,farm,Please show the themes of competitions with host cities having populations larger than 1000.,SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID WHERE T1.Population  >  1000,,
42,train_spider,farm,What are the themes of competitions that have corresponding host cities with more than 1000 residents?,SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID  =  T2.Host_city_ID WHERE T1.Population  >  1000,,
43,train_spider,farm,Please show the different statuses of cities and the average population of cities with each status.,"SELECT Status ,  avg(Population) FROM city GROUP BY Status",,
44,train_spider,farm,What are the statuses and average populations of each city?,"SELECT Status ,  avg(Population) FROM city GROUP BY Status",,
45,train_spider,farm,"Please show the different statuses, ordered by the number of cities that have each.",SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) ASC,,
46,train_spider,farm,"Return the different statuses of cities, ascending by frequency.",SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) ASC,,
47,train_spider,farm,List the most common type of Status across cities.,SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) DESC LIMIT 1,,
48,train_spider,farm,What is the most common status across all cities?,SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) DESC LIMIT 1,,
49,train_spider,farm,List the official names of cities that have not held any competition.,SELECT Official_Name FROM city WHERE City_ID NOT IN (SELECT Host_city_ID FROM farm_competition),,
50,train_spider,farm,What are the official names of cities that have not hosted a farm competition?,SELECT Official_Name FROM city WHERE City_ID NOT IN (SELECT Host_city_ID FROM farm_competition),,
51,train_spider,farm,Show the status shared by cities with population bigger than 1500 and smaller than 500.,SELECT Status FROM city WHERE Population  >  1500 INTERSECT SELECT Status FROM city WHERE Population  <  500,"select DISTINCT T1.Status from (SELECT Status FROM city WHERE Population  >  1500) T1, (SELECT Status FROM city WHERE Population  <  500) T2 where T1.Status = T2.Status",
52,train_spider,farm,Which statuses correspond to both cities that have a population over 1500 and cities that have a population lower than 500?,SELECT Status FROM city WHERE Population  >  1500 INTERSECT SELECT Status FROM city WHERE Population  <  500,"select DISTINCT T1.Status from (SELECT Status FROM city WHERE Population  >  1500) T1, (SELECT Status FROM city WHERE Population  <  500) T2 where T1.Status = T2.Status",
53,train_spider,farm,Find the official names of cities with population bigger than 1500 or smaller than 500.,SELECT Official_Name FROM city WHERE Population  >  1500 OR Population  <  500,,
54,train_spider,farm,What are the official names of cities that have population over 1500 or less than 500?,SELECT Official_Name FROM city WHERE Population  >  1500 OR Population  <  500,,
55,train_spider,farm,"Show the census ranking of cities whose status are not ""Village"".",SELECT Census_Ranking FROM city WHERE Status !=  'Village',SELECT Census_Ranking FROM city WHERE Status != 'Village',
56,train_spider,farm,"What are the census rankings of cities that do not have the status ""Village""?",SELECT Census_Ranking FROM city WHERE Status !=  'Village',SELECT Census_Ranking FROM city WHERE Status != 'Village',
57,train_spider,student_assessment,which course has most number of registered students?,SELECT T1.course_name FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_Id GROUP BY T1.course_id ORDER BY count(*) DESC LIMIT 1,"SELECT T1.course_name FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = cast(T2.course_Id as text) GROUP BY T1.course_id, T1.course_name ORDER BY count(*) DESC LIMIT 1",
58,train_spider,student_assessment,What is the name of the course with the most registered students?,SELECT T1.course_name FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_Id GROUP BY T1.course_id ORDER BY count(*) DESC LIMIT 1,"SELECT T1.course_name FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = cast(T2.course_Id as text) GROUP BY T1.course_id, T1.course_name ORDER BY count(*) DESC LIMIT 1",
59,train_spider,student_assessment,what is id of students who registered some courses but the least number of courses in these students?,SELECT student_id FROM student_course_registrations GROUP BY student_id ORDER BY count(*) LIMIT 1,,
60,train_spider,student_assessment,What are the ids of the students who registered for some courses but had the least number of courses for all students?,SELECT student_id FROM student_course_registrations GROUP BY student_id ORDER BY count(*) LIMIT 1,,
61,train_spider,student_assessment,what are the first name and last name of all candidates?,"SELECT T2.first_name ,  T2.last_name FROM candidates AS T1 JOIN people AS T2 ON T1.candidate_id = T2.person_id",,
62,train_spider,student_assessment,What are the first and last names of all the candidates?,"SELECT T2.first_name ,  T2.last_name FROM candidates AS T1 JOIN people AS T2 ON T1.candidate_id = T2.person_id",,
63,train_spider,student_assessment,List the id of students who never attends courses?,SELECT student_id FROM students WHERE student_id NOT IN (SELECT student_id FROM student_course_attendance),,
64,train_spider,student_assessment,What are the  ids of every student who has never attended a course?,SELECT student_id FROM students WHERE student_id NOT IN (SELECT student_id FROM student_course_attendance),,
65,train_spider,student_assessment,List the id of students who attended some courses?,SELECT student_id FROM student_course_attendance,,
66,train_spider,student_assessment,What are the ids of all students who have attended at least one course?,SELECT student_id FROM student_course_attendance,,
67,train_spider,student_assessment,What are the ids of all students for courses and what are the names of those courses?,"SELECT T1.student_id ,  T2.course_name FROM student_course_registrations AS T1 JOIN courses AS T2 ON T1.course_id = T2.course_id","SELECT T1.student_id , T2.course_name FROM student_course_registrations AS T1 JOIN courses AS T2 ON CAST(T1.course_id AS TEXT) = T2.course_id",
68,train_spider,student_assessment,What is detail of the student who most recently registered course?,SELECT T2.student_details FROM student_course_registrations AS T1 JOIN students AS T2 ON T1.student_id = T2.student_id ORDER BY T1.registration_date DESC LIMIT 1,,
69,train_spider,student_assessment,What details do we have on the students who registered for courses most recently?,SELECT T2.student_details FROM student_course_registrations AS T1 JOIN students AS T2 ON T1.student_id = T2.student_id ORDER BY T1.registration_date DESC LIMIT 1,,
70,train_spider,student_assessment,How many students attend course English?,SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = 'English',SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = CAST(T2.course_id AS TEXT) WHERE T1.course_name = 'English',
71,train_spider,student_assessment,How many students are attending English courses?,SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = 'English',SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = CAST(T2.course_id AS TEXT) WHERE T1.course_name = 'English',
72,train_spider,student_assessment,How many courses do the student whose id is 171 attend?,SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T2.student_id = 171,SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = CAST(T2.course_id AS TEXT) WHERE T2.student_id = 171,
73,train_spider,student_assessment,How many courses does the student with id 171 actually attend?,SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T2.student_id = 171,SELECT count(*) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = CAST(T2.course_id AS TEXT) WHERE T2.student_id = 171,
74,train_spider,student_assessment,Find id of the candidate whose email is stanley.monahan@example.org?,SELECT T2.candidate_id FROM people AS T1 JOIN candidates AS T2 ON T1.person_id = T2.candidate_id WHERE T1.email_address = 'stanley.monahan@example.org',SELECT T2.candidate_id FROM people AS T1 JOIN candidates AS T2 ON T1.person_id = T2.candidate_id WHERE T1.email_address = 'stanley.monahan@example.org',
75,train_spider,student_assessment,What is the id of the candidate whose email is stanley.monahan@example.org?,SELECT T2.candidate_id FROM people AS T1 JOIN candidates AS T2 ON T1.person_id = T2.candidate_id WHERE T1.email_address = 'stanley.monahan@example.org',SELECT T2.candidate_id FROM people AS T1 JOIN candidates AS T2 ON T1.person_id = T2.candidate_id WHERE T1.email_address = 'stanley.monahan@example.org',
76,train_spider,student_assessment,Find id of the candidate who most recently accessed the course?,SELECT candidate_id FROM candidate_assessments ORDER BY assessment_date DESC LIMIT 1,,
77,train_spider,student_assessment,What is the id of the candidate who most recently accessed the course?,SELECT candidate_id FROM candidate_assessments ORDER BY assessment_date DESC LIMIT 1,,
78,train_spider,student_assessment,What is detail of the student who registered the most number of courses?,SELECT T1.student_details FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id ORDER BY count(*) DESC LIMIT 1,"SELECT T1.student_details FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id, T1.student_details ORDER BY count(*) DESC LIMIT 1",
79,train_spider,student_assessment,What are the details of the student who registered for the most number of courses?,SELECT T1.student_details FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id ORDER BY count(*) DESC LIMIT 1,"SELECT T1.student_details FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id, T1.student_details ORDER BY count(*) DESC LIMIT 1",
80,train_spider,student_assessment,List the id of students who registered some courses and the number of their registered courses?,"SELECT T1.student_id ,  count(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id",,
81,train_spider,student_assessment,"For every student who is registered for some course, how many courses are they registered for?","SELECT T1.student_id ,  count(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id",,
82,train_spider,student_assessment,How many registed students do each course have? List course name and the number of their registered students?,"SELECT T3.course_name ,  count(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id JOIN courses AS T3 ON T2.course_id = T3.course_id GROUP BY T2.course_id","SELECT T3.course_name, count(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id JOIN courses AS T3 ON CAST(T2.course_id AS TEXT) = T3.course_id GROUP BY T2.course_id, T3.course_name",
83,train_spider,student_assessment,"For each course id, how many students are registered and what are the course names?","SELECT T3.course_name ,  count(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id JOIN courses AS T3 ON T2.course_id = T3.course_id GROUP BY T2.course_id","SELECT T3.course_name, count(*) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id JOIN courses AS T3 ON CAST(T2.course_id AS TEXT) = T3.course_id GROUP BY T2.course_id, T3.course_name",
84,train_spider,student_assessment,"Find id of candidates whose assessment code is ""Pass""?",SELECT candidate_id FROM candidate_assessments WHERE asessment_outcome_code = 'Pass',SELECT candidate_id FROM candidate_assessments WHERE asessment_outcome_code = 'Pass',
85,train_spider,student_assessment,What are the ids of the candidates that have an outcome code of Pass?,SELECT candidate_id FROM candidate_assessments WHERE asessment_outcome_code = 'Pass',SELECT candidate_id FROM candidate_assessments WHERE asessment_outcome_code = 'Pass',
86,train_spider,student_assessment,"Find the cell mobile number of the candidates whose assessment code is ""Fail""?",SELECT T3.cell_mobile_number FROM candidates AS T1 JOIN candidate_assessments AS T2 ON T1.candidate_id = T2.candidate_id JOIN people AS T3 ON T1.candidate_id = T3.person_id WHERE T2.asessment_outcome_code = 'Fail',SELECT T3.cell_mobile_number FROM candidates AS T1 JOIN candidate_assessments AS T2 ON T1.candidate_id = T2.candidate_id JOIN people AS T3 ON T1.candidate_id = T3.person_id WHERE T2.asessment_outcome_code = 'Fail',
87,train_spider,student_assessment,"What are the cell phone numbers of the candidates that received an assessment code of ""Fail""?",SELECT T3.cell_mobile_number FROM candidates AS T1 JOIN candidate_assessments AS T2 ON T1.candidate_id = T2.candidate_id JOIN people AS T3 ON T1.candidate_id = T3.person_id WHERE T2.asessment_outcome_code = 'Fail',SELECT T3.cell_mobile_number FROM candidates AS T1 JOIN candidate_assessments AS T2 ON T1.candidate_id = T2.candidate_id JOIN people AS T3 ON T1.candidate_id = T3.person_id WHERE T2.asessment_outcome_code = 'Fail',
88,train_spider,student_assessment,What are the id of students who registered course 301?,SELECT student_id FROM student_course_attendance WHERE course_id  =  301,,
89,train_spider,student_assessment,What are the ids of the students who registered for course 301?,SELECT student_id FROM student_course_attendance WHERE course_id  =  301,,
90,train_spider,student_assessment,What is the id of the student who most recently registered course 301?,SELECT student_id FROM student_course_attendance WHERE course_id = 301 ORDER BY date_of_attendance DESC LIMIT 1,,
91,train_spider,student_assessment,What are the ids of the students who registered for course 301 most recently?,SELECT student_id FROM student_course_attendance WHERE course_id = 301 ORDER BY date_of_attendance DESC LIMIT 1,,
92,train_spider,student_assessment,Find distinct cities of addresses of people?,SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id,,
93,train_spider,student_assessment,What are the different cities where people live?,SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id,,
94,train_spider,student_assessment,Find distinct cities of address of students?,SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id JOIN students AS T3 ON T2.person_id = T3.student_id,,
95,train_spider,student_assessment,What are the different cities where students live?,SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id JOIN students AS T3 ON T2.person_id = T3.student_id,,
96,train_spider,student_assessment,List the names of courses in alphabetical order?,SELECT course_name FROM courses ORDER BY course_name,,
97,train_spider,student_assessment,What are the names of the courses in alphabetical order?,SELECT course_name FROM courses ORDER BY course_name,,
98,train_spider,student_assessment,List the first names of people in alphabetical order?,SELECT first_name FROM people ORDER BY first_name,,
99,train_spider,student_assessment,What are the first names of the people in alphabetical order?,SELECT first_name FROM people ORDER BY first_name,,
100,train_spider,student_assessment,What are the id of students who registered courses or attended courses?,SELECT student_id FROM student_course_registrations UNION SELECT student_id FROM student_course_attendance,SELECT DISTINCT student_id FROM (SELECT student_id FROM student_course_registrations UNION ALL SELECT student_id FROM student_course_attendance),
101,train_spider,student_assessment,What are the ids of the students who either registered or attended a course?,SELECT student_id FROM student_course_registrations UNION SELECT student_id FROM student_course_attendance,SELECT DISTINCT student_id FROM (SELECT student_id FROM student_course_registrations UNION ALL SELECT student_id FROM student_course_attendance),
102,train_spider,student_assessment,Find the id of courses which are registered or attended by student whose id is 121?,SELECT course_id FROM student_course_registrations WHERE student_id = 121 UNION SELECT course_id FROM student_course_attendance WHERE student_id = 121,SELECT DISTINCT course_id FROM (SELECT course_id FROM student_course_registrations WHERE student_id = 121 UNION ALL SELECT course_id FROM student_course_attendance WHERE student_id = 121),
103,train_spider,student_assessment,What are the ids of the courses that are registered or attended by the student whose id is 121?,SELECT course_id FROM student_course_registrations WHERE student_id = 121 UNION SELECT course_id FROM student_course_attendance WHERE student_id = 121,SELECT DISTINCT course_id FROM (SELECT course_id FROM student_course_registrations WHERE student_id = 121 UNION ALL SELECT course_id FROM student_course_attendance WHERE student_id = 121),
104,train_spider,student_assessment,What are all info of students who registered courses but not attended courses?,SELECT * FROM student_course_registrations WHERE student_id NOT IN (SELECT student_id FROM student_course_attendance),,
105,train_spider,student_assessment,What are all details of the students who registered but did not attend any course?,SELECT * FROM student_course_registrations WHERE student_id NOT IN (SELECT student_id FROM student_course_attendance),,
106,train_spider,student_assessment,List the id of students who registered course statistics in the order of registration date.,SELECT T2.student_id FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = 'statistics' ORDER BY T2.registration_date,SELECT T2.student_id FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = CAST(T2.course_id AS TEXT) WHERE T1.course_name = 'statistics' ORDER BY T2.registration_date,
107,train_spider,student_assessment,What are the ids of the students who registered course statistics by order of registration date?,SELECT T2.student_id FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = 'statistics' ORDER BY T2.registration_date,SELECT T2.student_id FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = CAST(T2.course_id AS TEXT) WHERE T1.course_name = 'statistics' ORDER BY T2.registration_date,
108,train_spider,student_assessment,List the id of students who attended  statistics courses in the order of attendance date.,SELECT T2.student_id FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = 'statistics' ORDER BY T2.date_of_attendance,SELECT T2.student_id FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = CAST(T2.course_id AS TEXT) WHERE T1.course_name = 'statistics' ORDER BY T2.date_of_attendance,
109,train_spider,student_assessment,What are the ids of the students who attended courses in the statistics department in order of attendance date.,SELECT T2.student_id FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = 'statistics' ORDER BY T2.date_of_attendance,SELECT T2.student_id FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = CAST(T2.course_id AS TEXT) WHERE T1.course_name = 'statistics' ORDER BY T2.date_of_attendance,
110,train_spider,bike_1,Give me the dates when the max temperature was higher than 85.,SELECT date FROM weather WHERE max_temperature_f  >  85,"SELECT ""date"" FROM weather WHERE max_temperature_f  >  85",
111,train_spider,bike_1,What are the dates with a maximum temperature higher than 85?,SELECT date FROM weather WHERE max_temperature_f  >  85,"SELECT ""date"" FROM weather WHERE max_temperature_f  >  85",
112,train_spider,bike_1,What are the names of stations that have latitude lower than 37.5?,SELECT name FROM station WHERE lat  <  37.5,,
113,train_spider,bike_1,What are the names of all stations with a latitude smaller than 37.5?,SELECT name FROM station WHERE lat  <  37.5,,
114,train_spider,bike_1,"For each city, return the highest latitude among its stations.","SELECT city ,  max(lat) FROM station GROUP BY city",,
115,train_spider,bike_1,"For each city, what is the highest latitude for its stations?","SELECT city ,  max(lat) FROM station GROUP BY city",,
116,train_spider,bike_1,Give me the start station and end station for the trips with the three oldest id.,"SELECT start_station_name ,  end_station_name FROM trip ORDER BY id LIMIT 3",,
117,train_spider,bike_1,What is the station station and end station for the trips with the three smallest ids?,"SELECT start_station_name ,  end_station_name FROM trip ORDER BY id LIMIT 3",,
118,train_spider,bike_1,What is the average latitude and longitude of stations located in San Jose city?,"SELECT avg(lat) ,  avg(long) FROM station WHERE city  =  'San Jose'","SELECT avg(lat), avg(long) FROM station WHERE city = 'San Jose'",
119,train_spider,bike_1,What is the average latitude and longitude in San Jose?,"SELECT avg(lat) ,  avg(long) FROM station WHERE city  =  'San Jose'","SELECT avg(lat), avg(long) FROM station WHERE city = 'San Jose'",
120,train_spider,bike_1,What is the id of the trip that has the shortest duration?,SELECT id FROM trip ORDER BY duration LIMIT 1,,
121,train_spider,bike_1,What is the id of the shortest trip?,SELECT id FROM trip ORDER BY duration LIMIT 1,,
122,train_spider,bike_1,What is the total and maximum duration of trips with bike id 636?,"SELECT sum(duration) ,  max(duration) FROM trip WHERE bike_id  =  636",,
123,train_spider,bike_1,What is the total and maximum duration for all trips with the bike id 636?,"SELECT sum(duration) ,  max(duration) FROM trip WHERE bike_id  =  636",,
124,train_spider,bike_1,"For each zip code, return the average mean temperature of August there.","SELECT zip_code  ,  avg(mean_temperature_f) FROM weather WHERE date LIKE '8/%' GROUP BY zip_code","SELECT zip_code, avg(mean_temperature_f) FROM weather WHERE ""date"" LIKE '8/%' GROUP BY zip_code",
125,train_spider,bike_1,"For each zip code, what is the average mean temperature for all dates that start with '8'?","SELECT zip_code  ,  avg(mean_temperature_f) FROM weather WHERE date LIKE '8/%' GROUP BY zip_code","SELECT zip_code, avg(mean_temperature_f) FROM weather WHERE ""date"" LIKE '8/%' GROUP BY zip_code",
126,train_spider,bike_1,"From the trip record, find the number of unique bikes.",SELECT count(DISTINCT bike_id) FROM trip,,
127,train_spider,bike_1,How many different bike ids are there?,SELECT count(DISTINCT bike_id) FROM trip,,
128,train_spider,bike_1,What is the number of distinct cities the stations are located at?,SELECT count(DISTINCT city) FROM station,,
