query_id,db_id,tables,data_split,instruction_tokens,targeted_instruction_tokens,output_tokens,instruction,targeted_instruction,output
11,department_management,['management'],train_spider,165,86,14,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE department (Department_ID INTEGER, Name TEXT, Creation TEXT, Ranking INTEGER, Budget_in_Billions FLOAT, Num_Employees FLOAT);

CREATE TABLE head (head_ID INTEGER, name TEXT, born_state TEXT, age FLOAT);

CREATE TABLE management (department_ID INTEGER, head_ID INTEGER, temporary_acting TEXT);

Write a SQL query to answer the following question:

How many acting statuses are there?
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE management (department_ID INTEGER, head_ID INTEGER, temporary_acting TEXT);

Write a SQL query to answer the following question:

How many acting statuses are there?
",SELECT COUNT(DISTINCT temporary_acting) FROM management;
12,department_management,"['management', 'department']",train_spider,170,142,19,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE department (Department_ID INTEGER, Name TEXT, Creation TEXT, Ranking INTEGER, Budget_in_Billions FLOAT, Num_Employees FLOAT);

CREATE TABLE head (head_ID INTEGER, name TEXT, born_state TEXT, age FLOAT);

CREATE TABLE management (department_ID INTEGER, head_ID INTEGER, temporary_acting TEXT);

Write a SQL query to answer the following question:

How many departments are led by heads who are not mentioned?
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE management (department_ID INTEGER, head_ID INTEGER, temporary_acting TEXT);

CREATE TABLE department (Department_ID INTEGER, Name TEXT, Creation TEXT, Ranking INTEGER, Budget_in_Billions FLOAT, Num_Employees FLOAT);

Write a SQL query to answer the following question:

How many departments are led by heads who are not mentioned?
",SELECT COUNT(*) FROM department WHERE department_ID NOT IN (SELECT department_ID FROM management);
13,department_management,"['management', 'head']",train_spider,169,118,46,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE department (Department_ID INTEGER, Name TEXT, Creation TEXT, Ranking INTEGER, Budget_in_Billions FLOAT, Num_Employees FLOAT);

CREATE TABLE head (head_ID INTEGER, name TEXT, born_state TEXT, age FLOAT);

CREATE TABLE management (department_ID INTEGER, head_ID INTEGER, temporary_acting TEXT);

Write a SQL query to answer the following question:

What are the distinct ages of the heads who are acting?
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE management (department_ID INTEGER, head_ID INTEGER, temporary_acting TEXT);

CREATE TABLE head (head_ID INTEGER, name TEXT, born_state TEXT, age FLOAT);

Write a SQL query to answer the following question:

What are the distinct ages of the heads who are acting?
",SELECT DISTINCT T1.age FROM management AS T2 JOIN head AS T1 ON T1.head_ID = T2.head_ID WHERE T2.temporary_acting = 'Yes';
14,department_management,"['management', 'head', 'department']",train_spider,183,183,159,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE department (Department_ID INTEGER, Name TEXT, Creation TEXT, Ranking INTEGER, Budget_in_Billions FLOAT, Num_Employees FLOAT);

CREATE TABLE head (head_ID INTEGER, name TEXT, born_state TEXT, age FLOAT);

CREATE TABLE management (department_ID INTEGER, head_ID INTEGER, temporary_acting TEXT);

Write a SQL query to answer the following question:

List the states where both the secretary of 'Treasury' department and the secretary of 'Homeland Security' were born.
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE management (department_ID INTEGER, head_ID INTEGER, temporary_acting TEXT);

CREATE TABLE head (head_ID INTEGER, name TEXT, born_state TEXT, age FLOAT);

CREATE TABLE department (Department_ID INTEGER, Name TEXT, Creation TEXT, Ranking INTEGER, Budget_in_Billions FLOAT, Num_Employees FLOAT);

Write a SQL query to answer the following question:

List the states where both the secretary of 'Treasury' department and the secretary of 'Homeland Security' were born.
","SELECT DISTINCT T4.born_state FROM (SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_ID = T2.department_ID JOIN head AS T3 ON T2.head_ID = T3.head_ID WHERE T1.name = 'Treasury') T4, (SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_ID = T2.department_ID JOIN head AS T3 ON T2.head_ID = T3.head_ID WHERE T1.name = 'Homeland Security') T5 WHERE T4.born_state = T5.born_state;"
15,department_management,"['management', 'department']",train_spider,181,153,65,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE department (Department_ID INTEGER, Name TEXT, Creation TEXT, Ranking INTEGER, Budget_in_Billions FLOAT, Num_Employees FLOAT);

CREATE TABLE head (head_ID INTEGER, name TEXT, born_state TEXT, age FLOAT);

CREATE TABLE management (department_ID INTEGER, head_ID INTEGER, temporary_acting TEXT);

Write a SQL query to answer the following question:

Which department has more than 1 head at a time? List the id, name and the number of heads.
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE management (department_ID INTEGER, head_ID INTEGER, temporary_acting TEXT);

CREATE TABLE department (Department_ID INTEGER, Name TEXT, Creation TEXT, Ranking INTEGER, Budget_in_Billions FLOAT, Num_Employees FLOAT);

Write a SQL query to answer the following question:

Which department has more than 1 head at a time? List the id, name and the number of heads.
","SELECT T1.department_ID, T1.name, COUNT(*) FROM management AS T2 JOIN department AS T1 ON T1.department_ID = T2.department_ID GROUP BY T1.department_ID, T1.name HAVING COUNT(*) > 1;"
16,department_management,['head'],train_spider,176,97,15,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE department (Department_ID INTEGER, Name TEXT, Creation TEXT, Ranking INTEGER, Budget_in_Billions FLOAT, Num_Employees FLOAT);

CREATE TABLE head (head_ID INTEGER, name TEXT, born_state TEXT, age FLOAT);

CREATE TABLE management (department_ID INTEGER, head_ID INTEGER, temporary_acting TEXT);

Write a SQL query to answer the following question:

Which head's name has the substring 'Ha'? List the id and name.
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE head (head_ID INTEGER, name TEXT, born_state TEXT, age FLOAT);

Write a SQL query to answer the following question:

Which head's name has the substring 'Ha'? List the id and name.
","SELECT head_ID, name FROM head WHERE name LIKE '%Ha%';"
17,farm,['farm'],train_spider,261,139,6,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE city (City_ID INTEGER, Official_Name TEXT, Status TEXT, Area_km_2 FLOAT, Population FLOAT, Census_Ranking TEXT);

CREATE TABLE farm (Farm_ID INTEGER, ""Year"" INTEGER, Total_Horses FLOAT, Working_Horses FLOAT, Total_Cattle FLOAT, Oxen FLOAT, Bulls FLOAT, Cows FLOAT, Pigs FLOAT, Sheep_and_Goats FLOAT);

CREATE TABLE farm_competition (Competition_ID INTEGER, ""Year"" INTEGER, Theme TEXT, Host_city_ID INTEGER, Hosts TEXT);

CREATE TABLE competition_record (Competition_ID INTEGER, Farm_ID INTEGER, ""Rank"" INTEGER);

Write a SQL query to answer the following question:

How many farms are there?
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE farm (Farm_ID INTEGER, ""Year"" INTEGER, Total_Horses FLOAT, Working_Horses FLOAT, Total_Cattle FLOAT, Oxen FLOAT, Bulls FLOAT, Cows FLOAT, Pigs FLOAT, Sheep_and_Goats FLOAT);

Write a SQL query to answer the following question:

How many farms are there?
",SELECT COUNT(*) FROM farm;
18,farm,['farm'],train_spider,261,139,6,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE city (City_ID INTEGER, Official_Name TEXT, Status TEXT, Area_km_2 FLOAT, Population FLOAT, Census_Ranking TEXT);

CREATE TABLE farm (Farm_ID INTEGER, ""Year"" INTEGER, Total_Horses FLOAT, Working_Horses FLOAT, Total_Cattle FLOAT, Oxen FLOAT, Bulls FLOAT, Cows FLOAT, Pigs FLOAT, Sheep_and_Goats FLOAT);

CREATE TABLE farm_competition (Competition_ID INTEGER, ""Year"" INTEGER, Theme TEXT, Host_city_ID INTEGER, Hosts TEXT);

CREATE TABLE competition_record (Competition_ID INTEGER, Farm_ID INTEGER, ""Rank"" INTEGER);

Write a SQL query to answer the following question:

Count the number of farms.
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE farm (Farm_ID INTEGER, ""Year"" INTEGER, Total_Horses FLOAT, Working_Horses FLOAT, Total_Cattle FLOAT, Oxen FLOAT, Bulls FLOAT, Cows FLOAT, Pigs FLOAT, Sheep_and_Goats FLOAT);

Write a SQL query to answer the following question:

Count the number of farms.
",SELECT COUNT(*) FROM farm;
19,farm,['farm'],train_spider,268,146,17,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE city (City_ID INTEGER, Official_Name TEXT, Status TEXT, Area_km_2 FLOAT, Population FLOAT, Census_Ranking TEXT);

CREATE TABLE farm (Farm_ID INTEGER, ""Year"" INTEGER, Total_Horses FLOAT, Working_Horses FLOAT, Total_Cattle FLOAT, Oxen FLOAT, Bulls FLOAT, Cows FLOAT, Pigs FLOAT, Sheep_and_Goats FLOAT);

CREATE TABLE farm_competition (Competition_ID INTEGER, ""Year"" INTEGER, Theme TEXT, Host_city_ID INTEGER, Hosts TEXT);

CREATE TABLE competition_record (Competition_ID INTEGER, Farm_ID INTEGER, ""Rank"" INTEGER);

Write a SQL query to answer the following question:

List the total number of horses on farms in ascending order.
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE farm (Farm_ID INTEGER, ""Year"" INTEGER, Total_Horses FLOAT, Working_Horses FLOAT, Total_Cattle FLOAT, Oxen FLOAT, Bulls FLOAT, Cows FLOAT, Pigs FLOAT, Sheep_and_Goats FLOAT);

Write a SQL query to answer the following question:

List the total number of horses on farms in ascending order.
",SELECT Total_Horses FROM farm ORDER BY Total_Horses ASC;
20,farm,['farm'],train_spider,268,146,17,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE city (City_ID INTEGER, Official_Name TEXT, Status TEXT, Area_km_2 FLOAT, Population FLOAT, Census_Ranking TEXT);

CREATE TABLE farm (Farm_ID INTEGER, ""Year"" INTEGER, Total_Horses FLOAT, Working_Horses FLOAT, Total_Cattle FLOAT, Oxen FLOAT, Bulls FLOAT, Cows FLOAT, Pigs FLOAT, Sheep_and_Goats FLOAT);

CREATE TABLE farm_competition (Competition_ID INTEGER, ""Year"" INTEGER, Theme TEXT, Host_city_ID INTEGER, Hosts TEXT);

CREATE TABLE competition_record (Competition_ID INTEGER, Farm_ID INTEGER, ""Rank"" INTEGER);

Write a SQL query to answer the following question:

What is the total horses record for each farm, sorted ascending?
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE farm (Farm_ID INTEGER, ""Year"" INTEGER, Total_Horses FLOAT, Working_Horses FLOAT, Total_Cattle FLOAT, Oxen FLOAT, Bulls FLOAT, Cows FLOAT, Pigs FLOAT, Sheep_and_Goats FLOAT);

Write a SQL query to answer the following question:

What is the total horses record for each farm, sorted ascending?
",SELECT Total_Horses FROM farm ORDER BY Total_Horses ASC;
21,farm,['farm_competition'],train_spider,270,111,18,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE city (City_ID INTEGER, Official_Name TEXT, Status TEXT, Area_km_2 FLOAT, Population FLOAT, Census_Ranking TEXT);

CREATE TABLE farm (Farm_ID INTEGER, ""Year"" INTEGER, Total_Horses FLOAT, Working_Horses FLOAT, Total_Cattle FLOAT, Oxen FLOAT, Bulls FLOAT, Cows FLOAT, Pigs FLOAT, Sheep_and_Goats FLOAT);

CREATE TABLE farm_competition (Competition_ID INTEGER, ""Year"" INTEGER, Theme TEXT, Host_city_ID INTEGER, Hosts TEXT);

CREATE TABLE competition_record (Competition_ID INTEGER, Farm_ID INTEGER, ""Rank"" INTEGER);

Write a SQL query to answer the following question:

What are the hosts of competitions whose theme is not ""Aliens""?
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE farm_competition (Competition_ID INTEGER, ""Year"" INTEGER, Theme TEXT, Host_city_ID INTEGER, Hosts TEXT);

Write a SQL query to answer the following question:

What are the hosts of competitions whose theme is not ""Aliens""?
",SELECT Hosts FROM farm_competition WHERE Theme != 'Aliens';
22,farm,['farm_competition'],train_spider,269,110,18,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE city (City_ID INTEGER, Official_Name TEXT, Status TEXT, Area_km_2 FLOAT, Population FLOAT, Census_Ranking TEXT);

CREATE TABLE farm (Farm_ID INTEGER, ""Year"" INTEGER, Total_Horses FLOAT, Working_Horses FLOAT, Total_Cattle FLOAT, Oxen FLOAT, Bulls FLOAT, Cows FLOAT, Pigs FLOAT, Sheep_and_Goats FLOAT);

CREATE TABLE farm_competition (Competition_ID INTEGER, ""Year"" INTEGER, Theme TEXT, Host_city_ID INTEGER, Hosts TEXT);

CREATE TABLE competition_record (Competition_ID INTEGER, Farm_ID INTEGER, ""Rank"" INTEGER);

Write a SQL query to answer the following question:

Return the hosts of competitions for which the theme is not Aliens?
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE farm_competition (Competition_ID INTEGER, ""Year"" INTEGER, Theme TEXT, Host_city_ID INTEGER, Hosts TEXT);

Write a SQL query to answer the following question:

Return the hosts of competitions for which the theme is not Aliens?
",SELECT Hosts FROM farm_competition WHERE Theme != 'Aliens';
23,farm,['farm_competition'],train_spider,271,112,16,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE city (City_ID INTEGER, Official_Name TEXT, Status TEXT, Area_km_2 FLOAT, Population FLOAT, Census_Ranking TEXT);

CREATE TABLE farm (Farm_ID INTEGER, ""Year"" INTEGER, Total_Horses FLOAT, Working_Horses FLOAT, Total_Cattle FLOAT, Oxen FLOAT, Bulls FLOAT, Cows FLOAT, Pigs FLOAT, Sheep_and_Goats FLOAT);

CREATE TABLE farm_competition (Competition_ID INTEGER, ""Year"" INTEGER, Theme TEXT, Host_city_ID INTEGER, Hosts TEXT);

CREATE TABLE competition_record (Competition_ID INTEGER, Farm_ID INTEGER, ""Rank"" INTEGER);

Write a SQL query to answer the following question:

What are the themes of farm competitions sorted by year in ascending order?
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE farm_competition (Competition_ID INTEGER, ""Year"" INTEGER, Theme TEXT, Host_city_ID INTEGER, Hosts TEXT);

Write a SQL query to answer the following question:

What are the themes of farm competitions sorted by year in ascending order?
","SELECT Theme FROM farm_competition ORDER BY ""Year"" ASC;"
24,farm,['farm_competition'],train_spider,269,110,16,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE city (City_ID INTEGER, Official_Name TEXT, Status TEXT, Area_km_2 FLOAT, Population FLOAT, Census_Ranking TEXT);

CREATE TABLE farm (Farm_ID INTEGER, ""Year"" INTEGER, Total_Horses FLOAT, Working_Horses FLOAT, Total_Cattle FLOAT, Oxen FLOAT, Bulls FLOAT, Cows FLOAT, Pigs FLOAT, Sheep_and_Goats FLOAT);

CREATE TABLE farm_competition (Competition_ID INTEGER, ""Year"" INTEGER, Theme TEXT, Host_city_ID INTEGER, Hosts TEXT);

CREATE TABLE competition_record (Competition_ID INTEGER, Farm_ID INTEGER, ""Rank"" INTEGER);

Write a SQL query to answer the following question:

Return the themes of farm competitions, sorted by year ascending.
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE farm_competition (Competition_ID INTEGER, ""Year"" INTEGER, Theme TEXT, Host_city_ID INTEGER, Hosts TEXT);

Write a SQL query to answer the following question:

Return the themes of farm competitions, sorted by year ascending.
","SELECT Theme FROM farm_competition ORDER BY ""Year"" ASC;"
25,farm,['farm'],train_spider,278,156,26,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE city (City_ID INTEGER, Official_Name TEXT, Status TEXT, Area_km_2 FLOAT, Population FLOAT, Census_Ranking TEXT);

CREATE TABLE farm (Farm_ID INTEGER, ""Year"" INTEGER, Total_Horses FLOAT, Working_Horses FLOAT, Total_Cattle FLOAT, Oxen FLOAT, Bulls FLOAT, Cows FLOAT, Pigs FLOAT, Sheep_and_Goats FLOAT);

CREATE TABLE farm_competition (Competition_ID INTEGER, ""Year"" INTEGER, Theme TEXT, Host_city_ID INTEGER, Hosts TEXT);

CREATE TABLE competition_record (Competition_ID INTEGER, Farm_ID INTEGER, ""Rank"" INTEGER);

Write a SQL query to answer the following question:

What is the average number of working horses of farms with more than 5000 total number of horses?
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE farm (Farm_ID INTEGER, ""Year"" INTEGER, Total_Horses FLOAT, Working_Horses FLOAT, Total_Cattle FLOAT, Oxen FLOAT, Bulls FLOAT, Cows FLOAT, Pigs FLOAT, Sheep_and_Goats FLOAT);

Write a SQL query to answer the following question:

What is the average number of working horses of farms with more than 5000 total number of horses?
",SELECT AVG(Working_Horses) FROM farm WHERE Total_Horses > 5000;
