primary_table,is_multi_table,secondary_table,question
usa_shipping_ports,True,usa_states,"In states with a population greater than 10 million, which state has the highest number of shipping ports?"
usa_shipping_ports,True,usa_states,What is the total number of shipping ports in the Pacific sub-region?
usa_shipping_ports,True,usa_states,Which state in the New England sub-region has the highest number of shipping ports?
usa_shipping_ports,True,usa_states,"For states with at least 5 shipping ports, which state has the highest average latitude of its ports?"
usa_shipping_ports,True,usa_states,What is the total number of shipping ports in states with a population density greater than 100 people per square mile?
us_weather_hourly,False,,How many weather stations are there in the us_weather_hourly table?
us_weather_hourly,False,,What is the most common state where weather stations are located?
us_weather_hourly,False,,What is the average temperature (t_hr_avg) for weather stations in Colorado?
us_weather_hourly,False,,Which weather station recorded the highest solar radiation (solarad_max) and in which state is it located?
us_weather_hourly,False,,What are the top 5 highest average humidity (rh_hr_avg) values and their corresponding weather station names?
us_weather_hourly,False,,In which state is the weather station with the highest average soil moisture at 20 cm depth (soil_moisture_20)?
us_weather_hourly,False,,What is the highest recorded surface temperature (sur_temp_max) and at which weather station was it observed?
us_weather_hourly,False,,"Which weather station has the highest average soil temperature at 50 cm depth (soil_temp_50), and in which state is it located?"
us_weather_hourly,False,,What is the total precipitation (sum of p_calc) for weather stations in Arizona during a specific time period?
us_weather_hourly,True,usa_states,Which state has the highest average temperature (t_hr_avg) across all its weather stations?
us_weather_hourly,True,usa_states,In which state was the highest total precipitation (sum of p_calc) observed during a specific time period?
us_weather_hourly,True,usa_states,Which states have the top 5 highest average solar radiation (solarad) values across their weather stations?
us_weather_hourly,True,usa_states,What is the difference in average surface temperature (sur_temp) between the states with the highest and lowest average surface temperature in their weather stations?
us_weather_hourly,True,usa_states,Which state has the highest average soil moisture at 100 cm depth (soil_moisture_100) across all its weather stations?
us_weather_hourly,True,usa_states,In which state do the top 3 weather stations with the highest average humidity (rh_hr_avg) values belong?
us_weather_hourly,True,usa_states,What is the correlation between the population of a state and the average temperature (t_hr_avg) of its weather stations?
us_weather_hourly,True,usa_states,"For each state, what is the average of the difference between the highest and lowest recorded temperatures (t_max and t_min) in its weather stations?"
us_weather_hourly,True,usa_states,Which sub-region has the highest number of weather stations with an average soil temperature at 50 cm depth (soil_temp_50) above a specific threshold?
zillow_recent_sales_full_peninsula,False,,How many properties were recently sold in the Peninsula region?
zillow_recent_sales_full_peninsula,False,,What is the most common city where properties were sold?
zillow_recent_sales_full_peninsula,False,,What is the average sale price of properties in the database?
zillow_recent_sales_full_peninsula,False,,What is the median living area in square feet for sold properties?
zillow_recent_sales_full_peninsula,False,,How many properties have a 3D model available?
zillow_recent_sales_full_peninsula,False,,What is the most common home type among sold properties?
zillow_recent_sales_full_peninsula,False,,How many properties were sold for more than $1 million?
zillow_recent_sales_full_peninsula,False,,What is the average price per square foot for single-family homes in the Peninsula region?
zillow_recent_sales_full_peninsula,False,,Which city has the highest average sale price for recently sold properties?
zillow_recent_sales_full_peninsula,False,,What percentage of recently sold properties are non-owner occupied?
zillow_recent_sales_full_peninsula,True,usa_zipcodes,What is the average population of zip codes where recently sold properties are located?
zillow_recent_sales_full_peninsula,True,usa_zipcodes,What is the total land area of zip codes with at least one recently sold property?
zillow_recent_sales_full_peninsula,True,usa_zipcodes,"Which zip code has the highest average sale price for properties, and what is the population of that zip code?"
zillow_recent_sales_full_peninsula,True,usa_zipcodes,"What is the average sale price of properties in zip codes with a population greater than 10,000?"
zillow_recent_sales_full_peninsula,True,usa_zipcodes,How many single-family homes were sold in zip codes with a land area greater than 50 square miles?
zillow_recent_sales_full_peninsula,True,usa_zipcodes,"In which zip code were the most properties with a 3D model sold, and what is the population of that zip code?"
zillow_recent_sales_full_peninsula,True,usa_zipcodes,"What is the average price per square foot for properties in zip codes with a population density greater than 1,000 people per square mile?"
zillow_recent_sales_full_peninsula,True,usa_zipcodes,"Which zip code has the highest number of recently sold properties, and what is the land area of that zip code?"
zillow_recent_sales_full_peninsula,True,usa_zipcodes,How many properties were sold in zip codes with a population density less than 500 people per square mile?
zillow_recent_sales_full_peninsula,True,usa_zipcodes,"In which zip code were the most non-owner occupied properties sold, and what is the population of that zip code?"
ca_crops,False,,How many crops are there in the California 2014 dataset?
ca_crops,False,,What is the most common crop type grown in California in 2014?
ca_crops,False,,Which county has the largest total acreage of crops in 2014?
ca_crops,False,,What is the average acreage per crop type in the database?
ca_crops,False,,Which crop type has the highest total acreage in California in 2014?
ca_crops,False,,"What are the top 5 counties with the most vineyards in 2014, and how many acres do they occupy?"
ca_crops,False,,"In which county are the most citrus crops grown, and what is the total acreage of citrus crops in that county for 2014?"
ca_crops,False,,What proportion of the total acreage of crops in 2014 is dedicated to deciduous fruits and nuts?
ca_crops,False,,"What is the total acreage of pasture crops in California in 2014, and which county has the highest proportion of pasture crops compared to its overall crop acreage?"
ca_crops,True,usa_counties,"Which county in California had the highest population in 2010, and what was the main crop type grown in that county in 2014?"
ca_crops,True,usa_counties,What is the total acreage of crops in the top 5 most populous counties in California in 2014?
ca_crops,True,usa_counties,"What is the average crop acreage per square mile for each county in California in 2014, and which county has the highest value?"
ca_crops,True,usa_counties,"In which California county with a population greater than 500,000 in 2010 was the highest acreage of almonds grown in 2014?"
ca_crops,True,usa_counties,What is the total acreage of vineyards in California counties with a population density of more than 100 people per square mile in 2010?
ca_crops,True,usa_counties,Which California county with a median age below 35 in 2010 had the highest acreage of citrus crops in 2014?
ca_crops,True,usa_counties,How does the total acreage of deciduous fruits and nuts in 2014 compare between the top 3 California counties with the highest proportion of Hispanic population in 2010?
ca_crops,True,usa_counties,In which California county with the highest percentage of owner-occupied housing units in 2010 was the highest acreage of mixed pasture crops grown in 2014?
ca_crops,True,usa_counties,"What is the total acreage of truck, nursery, and berry crops in California counties with a median household size greater than 3 in 2010?"
florida_parcels_2020,False,,How many counties are represented in the florida_parcels_2020 table?
florida_parcels_2020,False,,What is the most common land use description in the data?
florida_parcels_2020,False,,What is the average land value for single-family properties?
florida_parcels_2020,False,,"What are the top 5 most frequent owner names in the dataset, and how many properties do they own?"
florida_parcels_2020,False,,What proportion of parcels have a homestead exemption?
florida_parcels_2020,False,,Which county has the highest average land value for vacant residential properties?
florida_parcels_2020,False,,"In which year were the most properties sold, and what was the total sale price for that year?"
florida_parcels_2020,False,,What is the total living area (in square feet) for all properties in Miami-Dade County?
florida_parcels_2020,False,,What are the top 3 most common construction classes and their respective average land values?
florida_parcels_2020,False,,"For properties with an exemption, which land use code has the highest average land value?"
florida_parcels_2020,True,usa_zipcodes,What is the average population for each land use description in the florida_parcels_2020 table?
florida_parcels_2020,True,usa_zipcodes,"Which land use description has the highest total land area in square miles, based on zip codes?"
florida_parcels_2020,True,usa_zipcodes,"How many vacant residential properties are there per zip code with a population greater than 20,000?"
florida_parcels_2020,True,usa_zipcodes,"What is the average land value of single-family properties in zip codes with a population less than 10,000?"
florida_parcels_2020,True,usa_zipcodes,"In which zip code with a population greater than 50,000, are the most condominiums located?"
florida_parcels_2020,True,usa_zipcodes,"What is the total number of mobile homes in zip codes with a population less than 5,000?"
florida_parcels_2020,True,usa_zipcodes,"Which zip code has the highest average property value for multi-family properties with fewer than 10 units, and also has a population greater than 30,000?"
florida_parcels_2020,True,usa_zipcodes,"What is the total living area (in square feet) for all properties in zip codes with a population density greater than 1,000 people per square mile?"
florida_parcels_2020,True,usa_zipcodes,"In zip codes with a population greater than 20,000, what is the most common land use code for properties with an exemption?"
florida_parcels_2020,True,usa_zipcodes,"What are the top 3 zip codes with the highest total land value for vacant residential properties, and what are their respective populations?"
airports,False,,How many airports are there in the database?
airports,False,,What is the most common type of airport?
airports,False,,What is the average elevation of airports in North America?
airports,False,,What are the top 5 countries with the highest number of airports?
airports,False,,Which continent has the highest number of heliports?
airports,False,,What percentage of airports offer scheduled services?
airports,False,,What are the top 3 municipalities with the highest number of small airports?
airports,False,,In which iso_region can you find the highest elevated airport?
airports,False,,How many airports have a Wikipedia link associated with them?
airports,False,,Which airport has the longest keyword list?
airports,True,countries,Which country has the highest number of airports?
airports,True,countries,What is the average number of airports per country in Europe?
airports,True,countries,In which country can you find the highest elevated airport?
airports,True,countries,Which countries have more than 50 airports and have a high-income economy?
airports,True,countries,What are the top 3 countries in terms of the number of airports in the Asia-Pacific region?
airports,True,countries,Which country has the highest number of heliports and is part of G7 economies?
airports,True,countries,What is the total number of airports in South American countries with an upper-middle-income economy?
airports,True,countries,"In countries with a population greater than 50 million, which country has the highest number of airports?"
airports,True,countries,Which countries with a low-income economy have more than 20 airports?
airports,True,countries,How many airports are located in countries in the European Union?
world_cities,False,,How many cities are there in the world_cities table?
world_cities,False,,What is the most common country in the world_cities table?
world_cities,False,,What are the top 5 most frequent administrative regions in the world_cities table?
world_cities,False,,What is the average population of cities in the world_cities table?
world_cities,False,,How many cities in the world_cities table are considered primary capitals?
world_cities,False,,Which city has the highest population in the United States?
world_cities,False,,What are the coordinates (latitude and longitude) of the city with the highest population in Germany?
world_cities,False,,In which country does the city with the lowest population exist?
world_cities,False,,How many cities in France are considered minor capitals?
world_cities,False,,"What are the top 3 most populated cities in Brazil, and what are their populations?"
world_cities,True,airports,Which city has the highest number of airports within its municipality?
world_cities,True,airports,What is the average elevation of airports in European cities?
world_cities,True,airports,How many cities in the United States have a scheduled service airport?
world_cities,True,airports,What are the top 3 countries with the most heliports?
world_cities,True,airports,In which city is the highest elevated airport located?
world_cities,True,airports,What is the total number of medium_airport type airports in Brazil?
world_cities,True,airports,"How many airports in Germany have an IATA code, and which city has the most airports with an IATA code?"
world_cities,True,airports,Which primary capital city has the highest number of airports in its municipality?
world_cities,True,airports,What are the names of the airports in the city with the highest population in France?
world_cities,True,airports,"For cities with a population greater than 1 million, which city has the least number of airports?"
movie_details,False,,How many movies are in the movie_details table?
movie_details,False,,What is the most common genre among the movies?
movie_details,False,,Which movie has the highest popularity score?
movie_details,False,,What is the average budget for movies in the database?
movie_details,False,,What are the top 5 production companies with the most movies in the database?
movie_details,False,,"On average, how many production countries are involved in a movie?"
movie_details,False,,"Which movie has the longest runtime, and how long is it?"
movie_details,False,,"What is the average vote_average for movies with a status of ""Released""?"
movie_details,False,,In which year were the most movies released?
movie_details,False,,Which original language has the highest average popularity score?
movie_details,True,countries,What is the average revenue of movies produced in each continent?
movie_details,True,countries,Which country has produced the highest-grossing movie of all time?
movie_details,True,countries,How many movies have been produced by countries with a high income: OECD status?
movie_details,True,countries,"What is the average vote count for movies produced in countries with an economy classified as ""Developed region: G7""?"
movie_details,True,countries,In which subregion are movies with the highest average popularity produced?
movie_details,True,countries,"Which country has produced the most movies in the database, and which continent does it belong to?"
movie_details,True,countries,Are there any correlations between a country's GDP and the average budget of movies produced in that country?
movie_details,True,countries,"What is the total revenue of movies produced in countries with a ""Low income"" income group classification?"
movie_details,True,countries,"Which country with an ""Emerging region: G20"" economy classification has produced the highest number of movies?"
movie_details,True,countries,How many movies have been produced in countries that are part of the European Union?
usa_zipcodes,False,,How many zip codes are there in the dataset?
usa_zipcodes,False,,What is the most common zip code in the dataset?
usa_zipcodes,False,,What is the average land area (in square kilometers) of a zip code in the dataset?
usa_zipcodes,False,,"What are the top 5 zip codes with the largest water area, and what are their corresponding water areas (in square kilometers)?"
usa_zipcodes,False,,What is the total population of all zip codes in the dataset?
usa_zipcodes,False,,"Which zip code has the highest population, and what is its population?"
usa_zipcodes,False,,What is the average population density (people per square kilometer) for each zip code in the dataset?
usa_zipcodes,False,,"What are the top 5 zip codes with the highest population density, and what are their corresponding population densities (people per square kilometer)?"
usa_zipcodes,False,,In which zip code is the point with latitude 42.6760320 and longitude -094.0556745 located?
usa_zipcodes,True,us_pois_safegraph,"What are the top 5 zip codes with the highest number of points of interest (POIs), and how many POIs are in each of those zip codes?"
usa_zipcodes,True,us_pois_safegraph,In which zip code is the Starbucks with the highest latitude located?
usa_zipcodes,True,us_pois_safegraph,"Which city has the highest number of Subways in its zip codes, and what is the total number of Subways in that city?"
usa_zipcodes,True,us_pois_safegraph,"What is the total number of restaurants and other eating places within zip codes that have a population greater than 10,000?"
usa_zipcodes,True,us_pois_safegraph,"What are the top 5 brands with the highest number of locations in zip codes with a population density greater than 1,000 people per square kilometer?"
usa_zipcodes,True,us_pois_safegraph,In which zip code is the point of interest with the longest opening hours on Mondays located?
usa_zipcodes,True,us_pois_safegraph,What are the top 3 categories of points of interest in zip codes with a water area greater than 10 square kilometers?
usa_zipcodes,True,us_pois_safegraph,What is the average number of points of interest per zip code in regions with more than 100 zip codes?
usa_zipcodes,True,us_pois_safegraph,"Which zip code has the highest proportion of synthetic points of interest, and what is the proportion?"
usa_zipcodes,True,us_pois_safegraph,What is the total number of points of interest located within zip codes that include parking lots?
world_cities,False,,What is the total number of cities in the world_cities table?
world_cities,False,,Which country has the highest number of cities in the table?
world_cities,False,,What are the top 5 most common administrative regions in the table?
world_cities,False,,What is the average population of cities in the table?
world_cities,False,,Which city has the largest population?
world_cities,False,,How many capital cities are there in the table?
world_cities,False,,What is the total population of all capital cities in the table?
world_cities,False,,Which country has the most primary capital cities in the table?
world_cities,False,,What are the top 3 countries with the highest average city population?
world_cities,False,,In which administrative region is the city with the highest latitude located?
world_cities,True,us_pois_safegraph,Which city has the highest number of points of interest (POIs) in the US?
world_cities,True,us_pois_safegraph,What are the top 5 brands with the most locations in cities with a population of over 1 million?
world_cities,True,us_pois_safegraph,How many Starbucks locations are there in primary capital cities in the US?
world_cities,True,us_pois_safegraph,What is the average number of POIs per city in California?
world_cities,True,us_pois_safegraph,Which administrative region has the highest number of full-service restaurants?
world_cities,True,us_pois_safegraph,"In which city with a population of over 500,000 can you find the highest number of religious organizations?"
world_cities,True,us_pois_safegraph,"What are the top 3 subcategories of POIs in cities with a population below 100,000 in France?"
world_cities,True,us_pois_safegraph,Which primary capital city has the highest number of automotive repair and maintenance locations?
world_cities,True,us_pois_safegraph,How many points of interest are located within a 10 km radius of a given city's coordinates?
world_cities,True,us_pois_safegraph,What is the total number of POIs belonging to the top 10 most common brands in Germany?
usa_census_block_groups_2020,False,,How many total census block groups are there in the dataset?
usa_census_block_groups_2020,False,,What is the most common state FIPS code in the dataset?
usa_census_block_groups_2020,False,,What is the average population per square mile for the census block groups in the dataset?
usa_census_block_groups_2020,False,,What percentage of the population is Hispanic in the census block groups?
usa_census_block_groups_2020,False,,Which census block group has the highest percentage of Asian population?
usa_census_block_groups_2020,False,,Which census block group has the lowest median age among its population?
usa_census_block_groups_2020,False,,What is the average household size for census block groups where the vacancy rate is greater than 10%?
usa_census_block_groups_2020,False,,"In census block groups with more than 1,000 housing units, what is the ratio of owner-occupied to renter-occupied units?"
usa_census_block_groups_2020,False,,Which census block group has the largest area in square miles?
usa_census_block_groups_2020,False,,"What are the top 5 census block groups with the highest population density, and what are their respective population densities?"
usa_census_block_groups_2020,True,usa_states,In which state is the census block group with the highest population density located?
usa_census_block_groups_2020,True,usa_states,What is the average population density of census block groups in each state?
usa_census_block_groups_2020,True,usa_states,Which state has the highest median age across all its census block groups?
usa_census_block_groups_2020,True,usa_states,How many census block groups are located in each sub-region?
usa_census_block_groups_2020,True,usa_states,"What is the total population of each state, calculated by summing the population of its census block groups?"
usa_census_block_groups_2020,True,usa_states,Which state has the highest percentage of vacant housing units across all its census block groups?
usa_census_block_groups_2020,True,usa_states,In which state is the census block group with the largest area located?
usa_census_block_groups_2020,True,usa_states,Which state has the highest average household size across all its census block groups?
usa_census_block_groups_2020,True,usa_states,"What are the top 5 states with the highest percentage of Hispanic population, based on their census block groups?"
usa_census_block_groups_2020,True,usa_states,"What is the total number of Asian population in each state, calculated by summing the Asian population of its census block groups?"
usa_counties,False,,What is the total population of the counties in the United States?
usa_counties,False,,Which state has the highest number of counties?
usa_counties,False,,What are the five most populated counties in the United States?
usa_counties,False,,What is the average population per square mile for all counties in Texas?
usa_counties,False,,Which county has the highest percentage of Hispanic population?
usa_counties,False,,What are the top five states with the highest average median age of their counties?
usa_counties,False,,In which county is the median age of females the highest?
usa_counties,False,,How many counties have a higher percentage of males than females?
usa_counties,False,,What is the average household size for all counties in Georgia?
usa_counties,False,,Which county has the highest number of vacant housing units?
usa_counties,False,,What are the top three counties with the highest average farm size in 2017?
usa_counties,False,,"Which state has the highest total crop acreage in 2017, based on its counties?"
usa_counties,True,usa_census_block_groups_2020,What is the total population difference between the 2010 and 2012 census data for each county?
usa_counties,True,usa_census_block_groups_2020,Which county has the highest average population density in 2010 based on its census block groups?
usa_counties,True,usa_census_block_groups_2020,In which state is there the largest discrepancy between the total population in the usa_counties table and the sum of populations in the usa_census_block_groups_2020 table for 2010?
usa_counties,True,usa_census_block_groups_2020,"What are the top five counties with the highest percentage of vacant housing units, considering both tables?"
usa_counties,True,usa_census_block_groups_2020,"For each county, what is the difference between the median age of the residents in the usa_counties table and the average median age in the usa_census_block_groups_2020 table?"
usa_counties,True,usa_census_block_groups_2020,Which county has the largest population of males aged 20-24 in both tables combined?
usa_counties,True,usa_census_block_groups_2020,"In which state do the counties have the highest average percentage of owner-occupied housing units, based on data from both tables?"
usa_counties,True,usa_census_block_groups_2020,"What are the top three counties with the largest total area, considering the combined data from both tables?"
usa_counties,True,usa_census_block_groups_2020,Which county has the highest average household size when considering both the usa_counties and usa_census_block_groups_2020 tables?
countries,False,,How many countries are there in the database?
countries,False,,What is the most common income group among the countries?
countries,False,,What are the top 5 most populous countries?
countries,False,,What is the average GDP per capita for countries in each income group?
countries,False,,Which country has the highest GDP in the lower-middle-income category?
countries,False,,What are the 5 smallest countries in terms of land area?
countries,False,,Which countries have not had a census since 2000?
countries,False,,Which region has the highest total population?
countries,False,,What percentage of countries in Europe are considered high income: OECD?
countries,False,,What are the top 3 economies in the Asia region by GDP?
countries,True,firewall_in,Which country has the highest number of blocked firewall events?
countries,True,firewall_in,What are the top 3 cities with the most blocked firewall events originating from them?
countries,True,firewall_in,In which continent do most blocked firewall events originate?
countries,True,firewall_in,What is the average number of blocked firewall events per country in Europe?
countries,True,firewall_in,Which country has the highest ratio of blocked to passed firewall events?
countries,True,firewall_in,How many unique source IPs are associated with blocked firewall events from countries with a high income: OECD status?
countries,True,firewall_in,What proportion of blocked firewall events originate from countries with a low-income status?
countries,True,firewall_in,What are the top 5 countries with the highest number of blocked firewall events targeting port 80 (HTTP)?
countries,True,firewall_in,Which country has the highest number of blocked firewall events with the TCP protocol?
countries,True,firewall_in,"In North America, what are the top 3 cities with the highest number of blocked firewall events?"
ca_tweets,False,,How many tweets are there in the California region?
ca_tweets,False,,What is the most common language used in the tweets?
ca_tweets,False,,What is the average number of followers for users in the dataset?
ca_tweets,False,,Which user has the highest number of tweets in the dataset?
ca_tweets,False,,What are the top 5 most common sources of tweets?
ca_tweets,False,,What is the most common county in California for tweets in the dataset?
ca_tweets,False,,In which month of the year were the most tweets sent?
ca_tweets,False,,What proportion of tweets are sent from iOS devices compared to Android devices?
ca_tweets,False,,What are the top 5 most frequently used hashtags in the California region?
ca_tweets,False,,"For users with more than 1000 followers, which user has the highest ratio of followers to followees?"
ca_tweets,True,usa_zipcodes,What is the total population in the zip codes where the tweets are located?
ca_tweets,True,usa_zipcodes,Which zip code has the highest number of tweets in the dataset?
ca_tweets,True,usa_zipcodes,"What are the top 5 zip codes with the highest average tweet engagement (likes, retweets, replies)?"
ca_tweets,True,usa_zipcodes,In which zip codes are tweets predominantly in Spanish?
ca_tweets,True,usa_zipcodes,What is the average number of followers for users in the zip code with the highest population?
ca_tweets,True,usa_zipcodes,Which zip code has the largest land area and also contains tweets in the dataset?
ca_tweets,True,usa_zipcodes,What are the top 3 most common sources of tweets in the zip code with the lowest population?
ca_tweets,True,usa_zipcodes,"For zip codes with more than 10,000 residents, which zip code has the highest ratio of tweets per capita?"
ca_tweets,True,usa_zipcodes,In which zip codes are tweets predominantly sent from iOS devices compared to Android devices?
ca_tweets,True,usa_zipcodes,Which zip code has the highest number of distinct users who tweeted using the hashtag #California?
ca_tweets,False,,How many tweets are in the ca_tweets table?
ca_tweets,False,,What is the most common language of tweets in the dataset?
ca_tweets,False,,What is the average number of followers for users in the dataset?
ca_tweets,False,,What are the top 5 most common sources of tweets in the dataset?
ca_tweets,False,,Which county in California has the highest number of tweets?
ca_tweets,False,,What is the proportion of tweets coming from iOS devices compared to Android devices?
ca_tweets,False,,What are the top 3 most common hashtags used in the dataset?
ca_tweets,False,,What is the average tweet engagement (tweet_count) for users who joined Twitter before 2015?
ca_tweets,False,,Which city in California has the highest number of tweets in English?
ca_tweets,False,,"For users with more than 1000 followers, what is the most common app source for tweeting?"
ca_tweets,True,usa_census_block_groups_2020,What is the average population density (per square mile) for census block groups in California?
ca_tweets,True,usa_census_block_groups_2020,Which census block group in California has the highest percentage of Hispanic population?
ca_tweets,True,usa_census_block_groups_2020,What is the median age difference between males and females in census block groups within Los Angeles County?
ca_tweets,True,usa_census_block_groups_2020,In which California county is the census block group with the highest number of vacant housing units located?
ca_tweets,True,usa_census_block_groups_2020,Which census block group has the highest proportion of Asian population in San Francisco County?
ca_tweets,True,usa_census_block_groups_2020,What is the average household size for census block groups in California with a tweet density higher than 10 tweets per square mile?
ca_tweets,True,usa_census_block_groups_2020,In which census block group in San Diego County are the most tweets originating from Android devices?
